WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.103897 -6.314835)",1537.0,16.0,Kabupaten Pandeglang,3601.0,2.0,-6.314835,106.103897,1.0
"POINT (106.2463441 -6.3610058)",1538.0,16.0,Kabupaten Lebak,3602.0,2.0,-6.5643956,106.2522143,1.0
"POINT (106.4940383 -6.2387034)",1539.0,16.0,Kabupaten Tangerang,3603.0,2.0,-6.1783056,106.6318889,1.0
"POINT (106.1523266 -6.116289)",1540.0,16.0,Kabupaten Serang,3604.0,2.0,-6.12009,106.150299,1.0
"POINT (106.6318889 -6.1783056)",1541.0,16.0,Kota Tangerang,3671.0,2.0,-6.1783056,106.6318889,1.0
"POINT (106.0500132 -6.0167058)",1542.0,16.0,Kota Cilegon,3672.0,2.0,-6.0169825,106.040506,1.0
"POINT (106.153538 -6.1169146)",1543.0,16.0,Kota Serang,3673.0,2.0,-6.12009,106.150299,1.0
